#BID	CID	GID	Eff%	Sta	UCL%	UCH%
3	0	32	0.970297	202	0.0703598	0.029703
3	1	33	1	268	0.0610847	0
3	2	34	0.974359	234	0.065372	0.025641
3	3	35	0.958175	263	0.0616626	0.0418251
3	4	36	0.988764	267	0.061199	0.011236
3	5	37	1	200	0.0707107	0
3	6	38	0.972549	255	0.0626224	0.027451
3	7	39	1	232	0.0656532	0
3	8	40	0.996109	257	0.0623783	0.00389105
3	9	41	1	252	0.0629941	0
3	10	42	0.991736	242	0.0642824	0.00826448
3	11	43	0.986301	219	0.0675737	0.0136986
3	12	44	1	200	0.0707107	0
3	13	45	1	236	0.0650945	0
3	14	46	1	148	0.0821995	0
3	15	47	1	192	0.0721688	0
7	0	96	0.990842527	546	0.042796049	0.009157473
7	1	97	0.984405187	513	0.044151079	0.015594813
7	2	98	0.996153985	520	0.043852901	0.003846015
7	3	99	0.991304113	460	0.04662524	0.008695887
7	4	100	0.980968877	578	0.041594517	0.019031123
7	5	101	1	485	0.045407661	0
7	6	102	0.99469031	565	0.042070316	0.00530969
7	7	103	0.987341667	474	0.045931521	0.012658333
7	8	104	0.975757529	495	0.044946657	0.024242471
7	9	105	0.984615729	520	0.043852901	0.015384271
7	10	106	0.986842132	532	0.043355498	0.013157868
7	11	107	0.99416351	514	0.044108109	0.00583649
7	12	108	0.978062168	547	0.042756912	0.021937832
7	13	109	0.988155689	591	0.041134503	0.011844311
7	14	110	0.941061257	509	0.044324221	0.044324221
7	15	111	0.981447169	539	0.043073049	0.018552831
11	0	160	0.983636436	550	0.042640143	0.016363564
11	1	161	1	505	0.044499416	0
11	2	162	0.986666613	525	0.043643578	0.013333387
11	3	163	0.970212698	470	0.04612656	0.029787302
11	4	164	0.994736863	570	0.041885391	0.005263137
11	5	165	0.987779982	491	0.045129368	0.012220018
11	6	166	0.985965123	570	0.041885391	0.014034877
11	7	167	0.977035589	479	0.045691166	0.022964411
11	8	168	0.987730041	489	0.045221563	0.012269959
11	9	169	1	512	0.044194174	0
11	10	170	0.990566038	530	0.043437224	0.009433962
11	11	171	0.971483281	526	0.043602072	0.028516719
11	12	172	0.979853637	546	0.042796049	0.020146363
11	13	173	0.981512541	595	0.040996003	0.018487459
11	14	174	0.995841906	481	0.045596075	0.004158094
11	15	175	0.994360756	532	0.043355498	0.005639244
15	0	224	0.942308	208	0.0693375	0.0576923
15	1	225	0.98893	271	0.0607457	0.0110701
15	2	226	0.95	240	0.0645497	0.05
15	3	227	0.965517	261	0.0618984	0.0344828
15	4	228	0.970588	272	0.0606339	0.0294118
15	5	229	0.990099	202	0.0703598	0.00990099
15	6	230	1	248	0.0635001	0
15	7	231	0.987234	235	0.0652328	0.0127659
15	8	232	0.977099	262	0.0617802	0.0229008
15	9	233	0.984375	256	0.0625	0.015625
15	10	234	1	240	0.0645497	0
15	11	235	0.972973	222	0.0671156	0.027027
15	12	236	0.956938	209	0.0691714	0.0430622
15	13	237	0.991597	238	0.0648204	0.00840336
15	14	238	0.961039	154	0.0805823	0.0389611
15	15	239	1	192	0.0721688	0
1	0	0	0.985222	203	0.0701862	0.0147783
1	1	1	0.99187	246	0.0637577	0.00813007
1	2	2	1	280	0.0597614	0
1	3	3	0.979167	192	0.0721688	0.0208333
1	4	4	1	216	0.0680414	0
1	5	5	0.985507	207	0.0695048	0.0144928
1	6	6	1	240	0.0645497	0
1	7	7	0.984615	195	0.0716115	0.0153846
1	8	8	0.981595	163	0.078326	0.0184049
1	9	9	0.97479	238	0.0648204	0.0252101
1	10	10	0.972477	218	0.0677285	0.0275229
1	11	11	1	256	0.0625	0
1	12	12	1	236	0.0650945	0
1	13	13	1	204	0.070014	0
1	14	14	1	168	0.0771517	0
1	15	15	1	260	0.0620174	0
5	0	64	0.995501963	667	0.038720155	0.004498037
5	1	65	0.982352788	680	0.038348249	0.017647212
5	2	66	0.994818864	579	0.041558582	0.005181136
5	3	67	0.985195124	743	0.036686442	0.014804876
5	4	68	0.993548606	620	0.040160966	0.006451394
5	5	69	0.985024812	601	0.040790851	0.014975188
5	6	70	0.982035856	501	0.044676705	0.017964144
5	7	71	0.979020727	572	0.041812101	0.020979273
5	8	72	0.993463918	612	0.040422604	0.006536082
5	9	73	0.985815559	564	0.042107596	0.014184441
5	10	74	0.994594301	555	0.042447636	0.005405699
5	11	75	0.995089985	611	0.04045567	0.004910015
5	12	76	0.989090815	550	0.042640143	0.010909185
5	13	77	1	656	0.03904344	0
5	14	78	0.975609763	615	0.040323892	0.024390237
5	15	79	0.995581838	679	0.038376478	0.004418162
9	0	128	0.976470759	680	0.038348249	0.023529241
9	1	129	0.991097871	674	0.038518561	0.008902129
9	2	130	0.982935224	586	0.041309619	0.017064776
9	3	131	0.990527453	739	0.036785595	0.009472547
9	4	132	1	616	0.040291148	0
9	5	133	0.996632997	594	0.041030497	0.003367003
9	6	134	0.98400002	500	0.04472136	0.01599998
9	7	135	0.984182443	569	0.041922181	0.015817557
9	8	136	0.993463843	612	0.040422604	0.006536157
9	9	137	0.989323963	562	0.042182454	0.010676037
9	10	138	0.996389895	554	0.042485929	0.003610105
9	11	139	0.980645045	620	0.040160966	0.019354955
9	12	140	0.983724881	553	0.042524326	0.016275119
9	13	141	1	656	0.03904344	0
9	14	142	0.990099294	606	0.040622223	0.009900706
9	15	143	0.982558217	688	0.038124643	0.017441783
13	0	192	0.956938	209	0.0691714	0.0430622
13	1	193	0.987854	247	0.0636285	0.0121458
13	2	194	1	280	0.0597614	0
13	3	195	0.984293	191	0.0723575	0.0157068
13	4	196	1	216	0.0680414	0
13	5	197	0.980769	208	0.0693375	0.0192308
13	6	198	0.963855	249	0.0633724	0.0361446
13	7	199	0.941176	204	0.070014	0.0588235
13	8	200	1	160	0.0790569	0
13	9	201	1	232	0.0656532	0
13	10	202	0.995305	213	0.0685189	0.00469482
13	11	203	1	256	0.0625	0
13	12	204	0.987448	239	0.0646846	0.0125523
13	13	205	0.966825	211	0.0688428	0.0331753
13	14	206	0.965517	174	0.0758098	0.0344828
13	15	207	1	260	0.0620174	0
4	0	48	0.978102	274	0.0604122	0.0218978
4	1	49	1	204	0.070014	0
4	2	50	1	176	0.0753778	0
4	3	51	1	236	0.0650945	0
4	4	52	0.988235	255	0.0626224	0.0117647
4	5	53	1	200	0.0707107	0
4	6	54	0.964912	228	0.0662266	0.0350877
4	7	55	1	176	0.0753778	0
4	8	56	0.978166	229	0.0660819	0.0218341
4	9	57	1	236	0.0650945	0
4	10	58	0.994709	189	0.0727393	0.00529099
4	11	59	1	196	0.0714286	0
4	12	60	0.97931	290	0.058722	0.0206897
4	13	61	1	224	0.0668153	0
4	14	62	1	264	0.0615457	0
4	15	63	0.971429	210	0.0690066	0.0285714
8	0	112	0.974609586	512	0.044194174	0.025390414
8	1	113	0.99088856	439	0.047727396	0.00911144
8	2	114	0.997416248	387	0.050832857	0.002583752
