"posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode"
-1,-1_-1,-1_-1,-1	-0.02518471682417777	-0.02519502414849333	0.9991819641898249	-0.028072097357472334	-0.028072315420122913	0.9991163672260447	0.0013502430697390733	49	-0.028096924721003166	-0.028097142976511467	4.0	1	0x4301D5
-1,-1_-1,-1_-1,-2	-0.025136251346495556	-0.06574141365784973	0.9972591380757159	-0.028030543835946407	-0.060464882638791954	0.9976374621649843	0.0028003982483726046	42	-0.028096923881664397	-0.06060807150081998	2.0	2	0xB1FA2B
-1,-1_-1,-1_-2,-1	-0.06571451874123224	-0.025195024148493114	0.9972591380757154	-0.06046534304185414	-0.028031727913187938	0.9976373882926178	0.0028005709464519355	42	-0.060608537482076605	-0.02809811284354745	2.0	3	0xBAA309
-1,-1_-1,-1_-2,-2	-0.06554846256272479	-0.06569583842827333	0.9953464199695866	-0.06037611416200412	-0.06037517696738132	0.9961650986326901	0.00580834474259647	36	-0.06060854194236957	-0.060607601139861945	1.0	4	0xAE5524
-1,-1_-1,-2_-1,-2	-0.02512339639322488	-0.0741251398035253	0.996749128868615	-0.02801127749006376	-0.07163430671582052	0.9969427665303231	0.0013389107179366307	42	-0.028097177120359564	-0.07185398111180506	4.0	5	0x4EEFD6
-1,-1_-1,-2_-1,-3	-0.02512496508069672	-0.09943650635602982	0.9944602182581488	-0.027943110680772886	-0.09936642725696482	0.9945235731964713	0.00576357869451443	35	-0.028096981744697803	-0.09991359675627785	2.0	6	0xF2CEA5
-1,-1_-1,-2_-1,-4	-0.024996378532931317	-0.12461404265058666	0.9917098045823292	-0.02785598747044349	-0.12695355506350456	0.9914235379874539	0.0013092036644421383	28	-0.028096959980383276	-0.1280517863447288	4.0	1	0x4301D5
-1,-1_-1,-2_-2,-2	-0.06550064266363616	-0.07407974015527027	0.9948386882193198	-0.06033324150681094	-0.0715279183985882	0.9954735649624795	0.002776977433774549	36	-0.06060757777036999	-0.07185315704619857	2.0	7	0xAF3ED6
-1,-1_-1,-2_-2,-3	-0.06532168441202779	-0.0990554470369162	0.9925910656832561	-0.06018880031956671	-0.09921947220728786	0.9930649867694151	0.011955023055694514	30	-0.060609125406152556	-0.0999123657859122	1.0	8	0x8D0817
-1,-1_-1,-2_-2,-4	-0.0652275839111147	-0.12414085902517635	0.9898604481069279	-0.0600022691049738	-0.12676874228338952	0.9899783529425766	0.002715695265541415	24	-0.060609677905203864	-0.12805203457892447	2.0	3	0xBAA309
-1,-1_-1,-3_-1,-4	-0.02496847718489123	-0.13258679877308532	0.9906028426127798	-0.027814285789589183	-0.13780648134617088	0.9899312407311581	0.002714428886491492	28	-0.028097189628085377	-0.13920813454113007	2.0	9	0xEC4A13
