posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode
-1,-1_-1,-1_-2,-2	-0.065588551	-0.065741661	0.995347491	-0.060375593	-0.060378856	0.996164892	0.005806906	36	-0.060608031	-0.060611307	1	1	0x53B6C2
-1,-1_-1,-2_-2,-2	-0.065554944	-0.074125346	0.994837484	-0.06033426	-0.071529711	0.995473321	0.00277605	36	-0.060608616	-0.071854976	2	2	0x1C5F5E
-1,-1_-1,-2_-2,-3	-0.065241044	-0.098897566	0.992613843	-0.060189416	-0.099219478	0.993065034	0.011953785	30	-0.060609743	-0.099912367	1	3	0x772E10
-1,-1_-1,-2_-2,-4	-0.0652262	-0.124266802	0.98984859	-0.060001352	-0.126768219	0.989978384	0.002715381	24	-0.060608749	-0.128051502	2	4	0x7EE018
-1,-1_-1,-3_-2,-4	-0.065107812	-0.132541097	0.988706406	-0.059912295	-0.137608201	0.988492249	0.005631461	24	-0.060609777	-0.139210198	1	5	0x4886AE
-1,-1_-1,-3_-2,-5	-0.064743473	-0.171320149	0.982832556	-0.0596194	-0.169008788	0.983673886	0.002646469	18	-0.060608908	-0.171813841	2	1	0x53B6C2
-1,-1_-2,-1_-2,-2	-0.07395271	-0.065741661	0.994837484	-0.071526611	-0.060337946	0.995473321	0.002775775	36	-0.071851861	-0.060612318	2	6	0x58D62C
-1,-1_-2,-1_-3,-2	-0.099682956	-0.065741661	0.992505418	-0.099223081	-0.06019429	0.993064349	0.011950628	30	-0.099916064	-0.060614692	1	7	0x3E6E6C
-1,-1_-2,-1_-4,-2	-0.123977389	-0.065741661	0.98984859	-0.126767766	-0.06000838	0.98997809	0.002714824	24	-0.128051083	-0.060615867	2	4	0x7EE018
-1,-1_-2,-2_-2,-2	-0.073914818	-0.074125346	0.994327739	-0.071477372	-0.071481046	0.994783195	0.001327033	36	-0.071852211	-0.071855904	4	8	0x9D1E9C
-1,-1_-2,-2_-2,-3	-0.073635753	-0.09877926	0.992115395	-0.071305305	-0.09914981	0.992380117	0.005714643	30	-0.071852815	-0.099911122	2	9	0x886BB7
